rfe_n_features,rfe_step,selected_features,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,rmse,mae,r2
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,2,0.1,0.8,1.0,0.1008723317807676,0.07541507256341712,0.07147230240586755
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,2,0.1,1.0,0.8,0.10269117406926641,0.07771477495807239,0.03768560768888429
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,2,0.1,1.0,1.0,0.10184451235552916,0.0764474173593327,0.053488251696210076
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,3,0.03,0.8,0.8,0.1026582801995302,0.07641092777325852,0.03830200291144947
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,3,0.03,0.8,1.0,0.10299220404450747,0.07603139105483082,0.03203546153306591
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,3,0.03,1.0,0.8,0.10386204855213786,0.07733082977230113,0.015616078959716617
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,3,0.03,1.0,1.0,0.10278819210464064,0.07649416615166899,0.03586644543555351
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,3,0.1,0.8,0.8,0.1037686805813669,0.0779554431818992,0.01738512970942263
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,3,0.1,0.8,1.0,0.1052748583854636,0.0782975952188642,-0.011346729864039062
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,3,0.1,1.0,0.8,0.10490493563160612,0.07889517933553472,-0.0042517241374320225
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,3,0.1,1.0,1.0,0.10257555376383097,0.07669623482481562,0.039851333210076056
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,5,0.03,0.8,0.8,0.1034177740620576,0.07707276671208545,0.024019558521663265
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,5,0.03,0.8,1.0,0.10476337558373454,0.07797995080536367,-0.0015432528202310447
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,5,0.03,1.0,0.8,0.1052088616809335,0.07838886194471631,-0.010079102797679651
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,5,0.03,1.0,1.0,0.10747283903366782,0.07985994526668422,-0.05401838373229162
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,5,0.1,0.8,0.8,0.1079725108851255,0.08167470632238484,-0.06384203082172979
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,5,0.1,0.8,1.0,0.10763915993913907,0.08128021878216508,-0.057283226114174246
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,5,0.1,1.0,0.8,0.10756680420414914,0.08068751383400877,-0.05586227870254912
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,5,0.1,1.0,1.0,0.1088204413403837,0.08135310243132941,-0.08061678391180527
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,2,0.03,0.8,0.8,0.1011193621293513,0.07566086887328918,0.06691891538605355
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,2,0.03,0.8,1.0,0.10097455026371525,0.07556358361771692,0.06958951094853816
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,2,0.03,1.0,0.8,0.10272375784046159,0.0775494442469593,0.037074828683916095
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,2,0.03,1.0,1.0,0.10287579980684372,0.07769961424343276,0.034222258119276705
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,2,0.1,0.8,0.8,0.10595698960746938,0.08037959210501064,-0.02449528614015395
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,2,0.1,0.8,1.0,0.10594959940367094,0.07988548652046377,-0.024352379759986942
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,2,0.1,1.0,0.8,0.10598186724568064,0.08024763539553958,-0.02497642504794717
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,2,0.1,1.0,1.0,0.1046531198483837,0.07892083144565393,0.0005637388580005398
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,3,0.03,0.8,0.8,0.10325844776074174,0.07680133466711667,0.027024449576295906
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,3,0.03,0.8,1.0,0.10479519735347602,0.07875397347662018,-0.0021517807332240846
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,3,0.03,1.0,0.8,0.10389380181325567,0.07804626578281343,0.015014084714263354
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,3,0.03,1.0,1.0,0.10349376269955525,0.07754177101091851,0.02258478251137641
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,3,0.1,0.8,0.8,0.10679464598660575,0.0806266818436054,-0.040757870053805156
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,3,0.1,0.8,1.0,0.11074670993988545,0.08331192445465938,-0.11921213138268594
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,3,0.1,1.0,0.8,0.10660490138365647,0.08008854649539264,-0.037062876641256626
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,3,0.1,1.0,1.0,0.10427402483084054,0.07763617006664682,0.007791331852437855
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,5,0.03,0.8,0.8,0.10518491198419673,0.07933391421596366,-0.00961928725777872
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,5,0.03,0.8,1.0,0.10719598039604285,0.08091303386834187,-0.04859490691455459
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,5,0.03,1.0,0.8,0.10650991914204888,0.07977776948807917,-0.03521570688069864
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,5,0.03,1.0,1.0,0.10690811953161651,0.08022199469083459,-0.0429707380507407
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,5,0.1,0.8,0.8,0.11092483444040659,0.08429807476743564,-0.12281529803424185
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,5,0.1,0.8,1.0,0.11147390133304272,0.08463792575920955,-0.1339584567036174
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,5,0.1,1.0,0.8,0.11121691362614544,0.08440492004770246,-0.12873611365578563
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",300,5,0.1,1.0,1.0,0.11068597239732411,0.08321131338313854,-0.11798483436160079
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,2,0.03,0.8,0.8,0.10198958802812393,0.0765228382731933,0.05078975322461954
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,2,0.03,0.8,1.0,0.10236613916412776,0.07693032766604882,0.04376774201377753
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,2,0.03,1.0,0.8,0.10464108539572725,0.07904054634711358,0.0007935834499637195
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,2,0.03,1.0,1.0,0.10504470993687695,0.07939825469686473,-0.00692961720462848
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,2,0.1,0.8,0.8,0.10828717126867576,0.08193894923580608,-0.07005169867281302
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,2,0.1,0.8,1.0,0.10861175450614204,0.08215392926623168,-0.07647612320123431
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,2,0.1,1.0,0.8,0.10668839842239365,0.08043139505372075,-0.03868804751085175
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,2,0.1,1.0,1.0,0.10535785657227367,0.07874328542187783,-0.012942040178869352
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,3,0.03,0.8,0.8,0.10443886435963683,0.0779157260243565,0.00465182542025222
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,3,0.03,0.8,1.0,0.10674985634733239,0.08058511772081492,-0.039885066104755396
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,3,0.03,1.0,0.8,0.10438037069143977,0.07828023019075979,0.0057664538103574525
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,3,0.03,1.0,1.0,0.10414113515871351,0.07802105934577544,0.010318716125757299
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,3,0.1,0.8,0.8,0.10802781893824405,0.08171321569662064,-0.06493219906879699
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,3,0.1,0.8,1.0,0.11165814748934351,0.08366857574507917,-0.13771001010199746
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,3,0.1,1.0,0.8,0.10690349323347936,0.08005008099148789,-0.0428804738275157
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,3,0.1,1.0,1.0,0.1043599928044783,0.0775869150292994,0.006154618768862474
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,5,0.03,0.8,0.8,0.10650799528041888,0.08063088465012987,-0.03517830954144041
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,5,0.03,0.8,1.0,0.10857337747801628,0.08199433577830344,-0.07571553046368162
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,5,0.03,1.0,0.8,0.1073883227778139,0.08056333586925651,-0.05236128299065501
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,5,0.03,1.0,1.0,0.10737865734025245,0.08080470130794465,-0.052171856910283365
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,5,0.1,0.8,0.8,0.1121194709444116,0.08508283524973315,-0.1471304878117332
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,5,0.1,0.8,1.0,0.1122969031782328,0.0851263199107627,-0.15076409356249965
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,5,0.1,1.0,0.8,0.11241984104638607,0.08548161603376594,-0.15328508780953332
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",500,5,0.1,1.0,1.0,0.1110672401613644,0.08327141135997954,-0.12570009763633294
10,1.0,"['sma_5', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",100,2,0.03,0.8,0.8,0.10253786654053004,0.07621918507138736,0.04055673890301692
10,1.0,"['sma_5', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",100,2,0.03,0.8,1.0,0.10251599178121912,0.07597463726289552,0.04096605796609487
10,1.0,"['sma_5', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",100,2,0.03,1.0,0.8,0.10286812974524133,0.07616872218112848,0.03436626280544863
