n_features_to_select,rfe_step,selected_features,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,rmse,mae,r2
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,3,0.03,0.8,1.0,0.1040086136900738,0.07714274845330125,0.012835888021394792
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,3,0.03,1.0,0.8,0.1042094560175936,0.07761822425892011,0.009019747094482056
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,3,0.03,1.0,1.0,0.10410507227524185,0.07756513475094062,0.01100402805574574
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,3,0.1,0.8,0.8,0.10702874058721519,0.07997258149852304,-0.045325567644688425
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,3,0.1,0.8,1.0,0.1067724451553717,0.07956881913793881,-0.04032520251751093
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,3,0.1,1.0,0.8,0.10655439347691915,0.07939459080076226,-0.036080417749602356
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,3,0.1,1.0,1.0,0.10844655948228861,0.08120577901930669,-0.07320404157595028
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,5,0.03,0.8,0.8,0.10581566132364549,0.0784115171135155,-0.021764110054351526
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,5,0.03,0.8,1.0,0.10449160593701093,0.07755157469497086,0.0036462708621447515
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,5,0.03,1.0,0.8,0.10646791799820628,0.07848172718824206,-0.03439941350335385
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,5,0.03,1.0,1.0,0.10625413878849858,0.0784979007559642,-0.030249598528763855
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,5,0.1,0.8,0.8,0.11154921186749422,0.08429810254703929,-0.1354911538410506
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,5,0.1,0.8,1.0,0.11200554421580756,0.08477827722449445,-0.14480042997329812
